--- Symbols meeting criteria for scan: 'BTC_Extreme_Underperformers' ---
exchange     symbol timeframe    close       volume       RSI    zscore       %B  ATRstretch   VWAPgap  VWAPgap_daily  BTC_rel_zscore  VolumeZScore     RVOL      BBW       ADX  delta_RSI  delta_zscore  delta_RVOL  delta_VWAPgap  delta_VWAPgap_daily  delta_BBW  delta_BTC_rel_zscore  delta_VolumeZScore  delta_%B  delta_ATRstretch  delta_ADX  flags_met
coinbase     B3-USD        1h 0.005098 4.506389e+07 35.094425 -1.685861 0.069163    1.256089 -0.057813      -0.038677       -1.927551      2.212558 2.073719 0.078605 25.896362  -9.832901     -1.289622    0.916505      -0.107119            -0.038677  -0.001637             -1.287130            1.778526 -0.309067          0.741269   2.290508          1
coinbase   BONK-USD        1h 0.000021 4.676546e+10 39.838999 -1.584952 0.167631    0.971768  0.226730      -0.031397       -1.865109      0.048176 1.016490 0.085227 14.905912 -12.570567     -1.812383    0.126729      -0.153320            -0.031397  -0.025200             -2.011695            0.315844 -0.450178          0.538163  -7.249970          1
coinbase   DOGE-USD        1h 0.219090 4.622633e+07 39.589627 -1.791546 0.169524    1.069633  0.214448      -0.023223       -2.215608      2.512465 2.599978 0.072399 28.789806 -21.628056     -2.496366    2.171586      -0.137568            -0.023223  -0.042501             -2.946858            3.418454 -0.584450         -0.494865   3.406100          1
coinbase  FLOKI-USD        1h 0.000100 5.299781e+08 40.285452 -1.492151 0.266441    0.795928  0.040233      -0.018626       -1.758848      0.219498 1.192019 0.088215 34.050878  -8.103265     -1.481916    1.062071      -0.138670            -0.018626  -0.034041             -1.642771            1.496829 -0.189961          0.587758  20.896314          1
coinbase  JASMY-USD        1h 0.018040 2.389844e+07 36.381692 -1.605997 0.164534    1.054487  0.218095      -0.030301       -1.851252     -0.042861 0.972555 0.088193 31.513533 -20.162535     -2.413334    0.370843      -0.197845            -0.030301  -0.004961             -2.586164            0.563566 -0.535748          0.185032  15.093919          1
coinbase KEYCAT-USD        1h 0.005116 1.010836e+07 31.498505 -1.517589 0.105386    1.347555 -0.057003      -0.064176       -1.609743     -0.557430 0.529768 0.172591 30.166760 -22.346052     -2.355623    0.264446      -0.431525            -0.064176  -0.025986             -2.409634            0.179287 -0.403229          1.324425  -6.541501          1
coinbase   PEPE-USD        1h 0.000013 1.365038e+11 41.205641 -1.852797 0.187359    0.955083  0.114403      -0.028318       -2.333783     -0.482843 0.813002 0.085508 29.732945 -12.239405     -2.357388    0.424014      -0.129351            -0.028318  -0.053589             -2.837067            0.611463 -0.383772          0.579132  11.147349          1
coinbase   SHIB-USD        1h 0.000015 2.529259e+10 41.830548 -1.324139 0.343672    0.451030  0.097980      -0.012801       -1.659019     -0.486280 0.809209 0.056185 31.410918 -16.248608     -1.720196    0.487938      -0.118644            -0.012801  -0.054510             -2.010454            0.742394 -0.367371         -0.924398   8.141268          1
coinbase  TOSHI-USD        1h 0.000680 1.446795e+09 42.499330 -1.419285 0.278268    0.690360  0.030758      -0.042205       -1.594534     -0.123078 0.958620 0.150879 20.619370  -1.403448     -0.838723   -0.044910      -0.198003            -0.042205   0.005002             -0.939665           -0.130066  0.055875         -0.222496   3.762024          1
coinbase  TURBO-USD        1h 0.005189 5.847046e+07 40.306967 -1.448370 0.319059    0.661312 -0.049904      -0.015515       -1.727982      1.195855 1.801538 0.100030 21.472031  -9.873399     -1.360605    1.480085      -0.119813            -0.015515   0.029136             -1.496011            2.380597 -0.187823          0.641447   6.637348          1
-----------------------------------------------------------
