--- Symbols meeting criteria for scan: 'BTC_Potential_Catch_Up' ---
exchange      symbol timeframe         close       volume       RSI    zscore       %B  ATRstretch  VWAPgap  VWAPgap_daily  BTC_rel_zscore  VolumeZScore     RVOL      BBW       ADX  flags_met
coinbase   BLAST-USD        1h      0.003770 2.180760e+06 56.557828  0.564050 0.743352    1.044782 0.054365  -1.150347e-16        0.480780     -0.353765 0.034427 0.098783 12.380393          3
coinbase   DEGEN-USD        1h      0.007493 1.470513e+08 52.243979  0.729410 0.418026    0.255056 0.243324  -1.157563e-16        0.701907     -1.156859 0.496957 0.228216 43.128217          3
coinbase    DOGE-USD        1h      0.239030 5.496966e+06 61.217683  0.704820 0.753974    1.564498 0.352016   0.000000e+00        0.731250     -0.905989 0.428392 0.114900 25.383706          3
coinbase DOGINME-USD        1h      0.001101 3.746676e+08 52.954645  1.019867 0.531417    0.167914 0.456744   0.000000e+00        1.010095     -0.441897 0.495337 0.553540 51.897020          3
coinbase     GST-USD        1h      0.012746 1.108291e+08 81.988306  3.497839 1.177773    3.557961 0.376562   0.000000e+00        3.512591      1.206100 1.981676 0.478967 46.762117          3
coinbase   JASMY-USD        1h      0.020420 1.346675e+07 56.544227  0.807338 0.700282    0.869454 0.415940   0.000000e+00        0.734911     -0.606427 0.601711 0.093154 16.419613          3
coinbase  KEYCAT-USD        1h      0.007378 1.173429e+07 53.844557  0.838034 0.508615    0.023129 0.374522   0.000000e+00        0.799891     -0.736717 0.265322 0.198577 36.708261          3
coinbase MOODENG-USD        1h      0.312100 6.830580e+06 58.620949  1.268421 0.603765    0.625553 0.934248  -1.778633e-16        1.284452     -1.325077 0.277487 0.422903 29.295667          3
coinbase    PEPE-USD        1h      0.000014 7.883125e+10 53.445046  0.504591 0.571131    0.375951 0.243753   0.000000e+00        0.503284     -1.094306 0.388988 0.139096 18.585596          3
coinbase    SHIB-USD        1h      0.000016 1.341813e+10 58.079156  0.396058 0.711043    1.375427 0.216624   0.000000e+00        0.351434     -1.228674 0.321272 0.110695 23.269650          3
coinbase   SPELL-USD        1h      0.000663 4.042370e+07 56.183411  0.724526 0.722194    1.189387 0.127401   0.000000e+00        0.729103     -0.278912 0.776056 0.091877 19.765122          3
coinbase    BONK-USD        1h      0.000023 6.476245e+10 52.409566  0.227431 0.617808    0.433605 0.380050   0.000000e+00        0.146587     -0.267669 0.889761 0.110428 22.155882          2
coinbase     BTC-USD        1h 103890.040000 1.497994e+02 52.696473  0.473236 0.569533    0.323554 0.171655   0.000000e+00             NaN     -1.078042 0.382832 0.026478 16.641573          2
coinbase  MOBILE-USD        1h      0.000508 1.071531e+07 52.167739  0.360782 0.595626    0.498528 0.020191   0.000000e+00        0.227782     -0.784250 0.294121 0.086133 18.007779          2
coinbase   TURBO-USD        1h      0.005844 6.322543e+06 50.180367 -0.087765 0.506882    0.019865 0.069909   0.000000e+00       -0.231971     -1.184742 0.321453 0.070894 14.834683          2
-----------------------------------------------------------
