--- All Processed Symbols & Indicators (before scan filtering) ---
exchange      symbol timeframe       %B       ADX  ATRstretch      BBW  BTC_rel_zscore       RSI     RVOL   VWAPgap  VWAPgap_daily  VolumeZScore         close       volume    zscore
coinbase      B3-USD        1h 0.378230 23.605854    0.514820 0.080242       -0.640421 44.927326 1.157214  0.049306   0.000000e+00      0.434033      0.005660 3.372784e+07 -0.396238
coinbase   BLAST-USD        1h 0.743352 12.380393    1.044782 0.098783        0.480780 56.557828 0.034427  0.054365  -1.150347e-16     -0.353765      0.003770 2.180760e+06  0.564050
coinbase    BONK-USD        1h 0.617808 22.155882    0.433605 0.110428        0.146587 52.409566 0.889761  0.380050   0.000000e+00     -0.267669      0.000023 6.476245e+10  0.227431
coinbase     BTC-USD        1h 0.569533 16.641573    0.323554 0.026478             NaN 52.696473 0.382832  0.171655   0.000000e+00     -1.078042 103890.040000 1.497994e+02  0.473236
coinbase   DEGEN-USD        1h 0.418026 43.128217    0.255056 0.228216        0.701907 52.243979 0.496957  0.243324  -1.157563e-16     -1.156859      0.007493 1.470513e+08  0.729410
coinbase    DOGE-USD        1h 0.753974 25.383706    1.564498 0.114900        0.731250 61.217683 0.428392  0.352016   0.000000e+00     -0.905989      0.239030 5.496966e+06  0.704820
coinbase DOGINME-USD        1h 0.531417 51.897020    0.167914 0.553540        1.010095 52.954645 0.495337  0.456744   0.000000e+00     -0.441897      0.001101 3.746676e+08  1.019867
coinbase   FLOKI-USD        1h 0.456402 13.154564    0.208169 0.122257       -0.116077 48.388717 0.129948  0.178904   0.000000e+00     -1.277331      0.000113 1.322296e+08 -0.010236
coinbase     GST-USD        1h 1.177773 46.762117    3.557961 0.478967        3.512591 81.988306 1.981676  0.376562   0.000000e+00      1.206100      0.012746 1.108291e+08  3.497839
coinbase   JASMY-USD        1h 0.700282 16.419613    0.869454 0.093154        0.734911 56.544227 0.601711  0.415940   0.000000e+00     -0.606427      0.020420 1.346675e+07  0.807338
coinbase  KEYCAT-USD        1h 0.508615 36.708261    0.023129 0.198577        0.799891 53.844557 0.265322  0.374522   0.000000e+00     -0.736717      0.007378 1.173429e+07  0.838034
coinbase  MOBILE-USD        1h 0.595626 18.007779    0.498528 0.086133        0.227782 52.167739 0.294121  0.020191   0.000000e+00     -0.784250      0.000508 1.071531e+07  0.360782
coinbase     MOG-USD        1h 0.334761 14.378497    0.440018 0.112369       -0.458736 46.433823 0.370512  0.192874   0.000000e+00     -0.991450      0.000001 7.682464e+10 -0.317039
coinbase MOODENG-USD        1h 0.603765 29.295667    0.625553 0.422903        1.284452 58.620949 0.277487  0.934248  -1.778633e-16     -1.325077      0.312100 6.830580e+06  1.268421
coinbase   PENGU-USD        1h 0.205205 17.915635    0.710883 0.071414       -0.475031 45.964176 0.676362  0.131757   0.000000e+00     -0.793099      0.013950 1.751196e+07 -0.262760
coinbase    PEPE-USD        1h 0.571131 18.585596    0.375951 0.139096        0.503284 53.445046 0.388988  0.243753   0.000000e+00     -1.094306      0.000014 7.883125e+10  0.504591
coinbase    SHIB-USD        1h 0.711043 23.269650    1.375427 0.110695        0.351434 58.079156 0.321272  0.216624   0.000000e+00     -1.228674      0.000016 1.341813e+10  0.396058
coinbase   SPELL-USD        1h 0.722194 19.765122    1.189387 0.091877        0.729103 56.183411 0.776056  0.127401   0.000000e+00     -0.278912      0.000663 4.042370e+07  0.724526
coinbase   TOSHI-USD        1h 0.222393 16.857345    0.912856 0.145877       -0.654869 43.902778 1.003530  0.228761   0.000000e+00      0.006988      0.000795 1.588984e+09 -0.580562
coinbase   TURBO-USD        1h 0.506882 14.834683    0.019865 0.070894       -0.231971 50.180367 0.321453  0.069909   0.000000e+00     -1.184742      0.005844 6.322543e+06 -0.087765
coinbase     XCN-USD        1h 0.475099 17.453821    0.082389 0.051363       -0.978916 47.306653 0.332415 -0.014915   0.000000e+00     -0.939629      0.017570 6.786389e+06 -0.494019
-----------------------------------------------------------
