dates,opens,highs,lows,closes,volumes
1706934900000,43160.6,43206.11,43160.6,43175.81,11.00553822
1706935200000,43175.8,43189.51,43173.38,43189.51,2.52251369
1706935500000,43189.51,43192.11,43178.53,43181.99,3.05645338
1706935800000,43182.17,43183.91,43164.55,43176.08,6.30889754
1706936100000,43176.08,43178.8,43165.41,43175.68,4.25944091
1706936400000,43175.68,43194.55,43143.87,43149.22,11.02784013
1706936700000,43149.22,43152.24,43132.42,43137.86,4.55623192
1706937000000,43137.88,43153.32,43129.99,43153.32,5.01217532
1706937300000,43152.5,43160.62,43133.75,43140.79,4.88952835
1706937600000,43142.48,43146.71,43130.09,43139.64,6.15467937
1706937900000,43139.64,43141.66,43096.0,43103.01,10.46320824
1706938200000,43103.01,43146.17,43071.43,43142.07,15.61590734
1706938500000,43143.19,43146.06,43102.45,43107.61,4.59179401
1706938800000,43107.31,43117.37,43080.75,43101.92,5.54986473
1706939100000,43101.91,43129.39,43091.48,43124.55,8.62943683
1706939400000,43124.56,43137.45,43120.63,43137.44,4.15281436
1706939700000,43137.45,43155.92,43125.18,43154.82,5.82146044
1706940000000,43154.81,43154.81,43141.75,43145.97,5.12576426
1706940300000,43146.12,43146.44,43136.23,43140.45,3.63212948
1706940600000,43138.48,43138.48,43103.27,43112.27,5.21368636
1706940900000,43112.24,43112.24,43096.21,43102.5,2.1551849
1706941200000,43098.46,43130.49,43098.46,43116.19,9.46325902
1706941500000,43113.32,43113.32,43093.69,43097.82,1.49913324
1706941800000,43097.8,43100.29,43087.14,43090.61,5.90182596
1706942100000,43090.6,43090.61,43069.03,43076.55,4.8375262
1706942400000,43075.72,43108.41,43063.03,43095.78,9.33994406
1706942700000,43095.78,43096.9,43082.86,43084.37,3.36099747
1706943000000,43087.84,43107.82,43087.84,43096.81,4.14856587
1706943300000,43096.78,43109.8,43076.29,43078.66,4.7438546
1706943600000,43078.89,43081.01,43074.12,43077.55,3.75321582
1706943900000,43077.54,43078.47,43056.41,43064.01,3.73596312
1706944200000,43064.01,43068.44,43050.85,43066.84,4.32283908
1706944500000,43067.06,43084.31,43054.81,43083.28,3.3849798
1706944800000,43084.21,43098.51,43078.82,43094.67,4.70420087
1706945100000,43094.66,43100.64,43085.35,43091.38,2.53472847
1706945400000,43088.73,43109.1,43086.6,43109.1,2.57068781
1706945700000,43109.1,43117.85,43094.08,43111.57,2.51328539
1706946000000,43111.57,43111.58,43074.79,43079.96,4.00570532
1706946300000,43079.96,43084.32,43045.72,43045.73,2.88242827
1706946600000,43046.07,43062.56,43044.16,43061.86,3.11646951
1706946900000,43061.13,43064.96,43026.01,43043.82,8.23281822
1706947200000,43043.82,43069.14,43042.82,43060.52,4.52626006
1706947500000,43060.52,43066.23,43033.07,43039.65,3.15402927
1706947800000,43039.65,43071.4,43033.58,43069.7,14.79916115
1706948100000,43069.69,43078.28,43058.55,43058.55,1.9270898
1706948400000,43058.55,43070.0,43015.94,43019.52,4.63960808
1706948700000,43017.68,43039.4,43017.68,43034.06,5.08850551
1706949000000,43032.42,43043.1,43032.09,43037.47,2.50575351
1706949300000,43035.69,43045.67,43033.94,43038.11,5.55539827
1706949600000,43037.8,43040.66,43025.88,43032.35,4.3756328
1706949900000,43032.35,43048.73,43027.57,43032.43,3.80910944
1706950200000,43033.59,43035.14,43013.87,43020.5,5.26494061
1706950500000,43020.5,43035.03,42991.0,43002.11,10.48157107
1706950800000,43003.03,43029.73,43000.34,43025.35,5.50030409
1706951100000,43025.23,43037.07,43023.9,43036.39,5.08209437
1706951400000,43034.89,43036.95,43026.73,43034.19,4.34021794
1706951700000,43034.19,43062.89,43034.19,43059.55,4.91974144
1706952000000,43061.71,43076.91,43056.14,43072.9,4.02465363
1706952300000,43072.89,43072.89,43058.29,43065.12,3.30049967
1706952600000,43064.93,43071.8,43059.33,43071.8,5.256326
1706952900000,43071.14,43103.09,43071.13,43089.95,5.98946675
1706953200000,43086.2,43107.21,43077.78,43103.36,5.27389735
1706953500000,43103.01,43107.21,43095.01,43106.47,7.28622287
1706953800000,43103.18,43106.39,43074.85,43090.08,4.76631753
1706954100000,43085.6,43089.04,43072.34,43076.58,4.08524139
1706954400000,43076.55,43077.97,43068.14,43070.13,6.48422437
1706954700000,43070.09,43071.49,43050.24,43061.04,10.54743409
1706955000000,43061.02,43061.04,43051.24,43054.1,2.39636624
1706955300000,43054.19,43094.4,43053.16,43087.29,4.87209418
1706955600000,43087.18,43109.82,43084.61,43088.45,3.8040608
1706955900000,43089.13,43091.8,43078.03,43091.79,3.60337879
1706956200000,43091.77,43091.77,43057.7,43063.4,5.12056289
1706956500000,43062.23,43063.99,43040.05,43051.18,5.01533222
1706956800000,43052.11,43060.38,43044.18,43059.37,4.00722587
1706957100000,43059.37,43062.01,43023.43,43049.5,9.720941
1706957400000,43049.5,43049.51,43034.21,43034.54,10.28252879
1706957700000,43036.74,43053.05,43035.84,43050.7,3.65917493
1706958000000,43052.24,43052.24,43035.53,43039.82,5.11331729
1706958300000,43041.14,43043.25,43031.71,43040.95,4.02042252
1706958600000,43041.18,43041.99,43008.57,43011.16,2.79990758
