--- All Processed Symbols & Indicators (before scan filtering) ---
exchange      symbol timeframe       %B       ADX  ATRstretch      BBW  BTC_rel_zscore       RSI     RVOL   VWAPgap  VWAPgap_daily  VolumeZScore         close  delta_%B  delta_ADX  delta_ATRstretch  delta_BBW  delta_BTC_rel_zscore  delta_RSI  delta_RVOL  delta_VWAPgap  delta_VWAPgap_daily  delta_VolumeZScore  delta_zscore       volume    zscore
coinbase     AMP-USD        1h 0.254973 25.253473    1.300491 0.196331       -0.754841 41.951279 0.190185 -0.032719      -0.072538     -1.091091      0.004650       NaN        NaN               NaN        NaN                   NaN        NaN         NaN            NaN                  NaN                 NaN           NaN 1.236786e+07 -0.702605
coinbase      B3-USD        1h 0.069163 25.896362    1.256089 0.078605       -1.927551 35.094425 2.073719 -0.057813      -0.038677      2.212558      0.005098 -0.309067   2.290508          0.741269  -0.001637             -1.287130  -9.832901    0.916505      -0.107119            -0.038677            1.778526     -1.289622 4.506389e+07 -1.685861
coinbase    BONK-USD        1h 0.167631 14.905912    0.971768 0.085227       -1.865109 39.838999 1.016490  0.226730      -0.031397      0.048176      0.000021 -0.450178  -7.249970          0.538163  -0.025200             -2.011695 -12.570567    0.126729      -0.153320            -0.031397            0.315844     -1.812383 4.676546e+10 -1.584952
coinbase     BTC-USD        1h 0.869749 20.525414    1.510257 0.028352             NaN 57.688638 0.646643  0.158222       0.008332     -0.549907 103863.550000  0.300216   3.883841          1.186703   0.001874                   NaN   4.992165    0.263811      -0.013433             0.008332            0.528135      0.418822 2.153363e+02  0.892058
coinbase   DEGEN-USD        1h 0.169381 21.305544    1.194163 0.166409       -1.486629 33.150230 1.192581 -0.119414      -0.072383      0.400811      0.005352 -0.248645 -21.822673          0.939107  -0.061807             -2.188536 -19.093748    0.695624      -0.362738            -0.072383            1.557670     -2.126440 1.260586e+08 -1.397030
coinbase    DOGE-USD        1h 0.169524 28.789806    1.069633 0.072399       -2.215608 39.589627 2.599978  0.214448      -0.023223      2.512465      0.219090 -0.584450   3.406100         -0.494865  -0.042501             -2.946858 -21.628056    2.171586      -0.137568            -0.023223            3.418454     -2.496366 4.622633e+07 -1.791546
coinbase DOGINME-USD        1h 0.243625 13.961703    0.624791 0.151420       -1.358983 42.664048 0.340740  0.103113      -0.045309     -0.900912      0.000863 -0.287792 -37.935317          0.456877  -0.402120             -2.369078 -10.290598   -0.154596      -0.353631            -0.045309           -0.459015     -2.271699 5.637423e+07 -1.251833
coinbase     FAI-USD        1h 0.094364 47.015141    1.775446 0.214926        0.198232 44.659434 0.270194  0.046902      -0.125956     -0.913688      0.023820       NaN        NaN               NaN        NaN                   NaN        NaN         NaN            NaN                  NaN                 NaN           NaN 4.068661e+06  0.250109
coinbase   FLOKI-USD        1h 0.266441 34.050878    0.795928 0.088215       -1.758848 40.285452 1.192019  0.040233      -0.018626      0.219498      0.000100 -0.189961  20.896314          0.587758  -0.034041             -1.642771  -8.103265    1.062071      -0.138670            -0.018626            1.496829     -1.481916 5.299781e+08 -1.492151
coinbase   JASMY-USD        1h 0.164534 31.513533    1.054487 0.088193       -1.851252 36.381692 0.972555  0.218095      -0.030301     -0.042861      0.018040 -0.535748  15.093919          0.185032  -0.004961             -2.586164 -20.162535    0.370843      -0.197845            -0.030301            0.563566     -2.413334 2.389844e+07 -1.605997
coinbase  KEYCAT-USD        1h 0.105386 30.166760    1.347555 0.172591       -1.609743 31.498505 0.529768 -0.057003      -0.064176     -0.557430      0.005116 -0.403229  -6.541501          1.324425  -0.025986             -2.409634 -22.346052    0.264446      -0.431525            -0.064176            0.179287     -2.355623 1.010836e+07 -1.517589
coinbase  MOBILE-USD        1h 0.456648 18.197059    0.119202 0.081445       -0.477619 47.989659 0.108685 -0.011875      -0.038261     -1.018577      0.000508 -0.138978   0.189280         -0.379326  -0.004689             -0.705401  -4.178080   -0.185436      -0.032067            -0.038261           -0.234326     -0.685904 9.416990e+06 -0.325122
